Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Latur,Ahmedpur,Wheat,Other,FAQ,2631,2631,2631,30-Dec-22
2,Latur,Ahmedpur,Wheat,Other,FAQ,2000,2000,2000,27-Jun-22
3,Latur,Ahmedpur,Wheat,Other,FAQ,2775,2775,2775,18-Jun-22
4,Latur,Ahmedpur,Wheat,Other,FAQ,1900,1900,1900,17-Jun-22
5,Latur,Ahmedpur,Wheat,Other,FAQ,2100,2560,2300,16-Jun-22
6,Latur,Ahmedpur,Wheat,Other,FAQ,2000,2000,2000,15-Jun-22
7,Latur,Ahmedpur,Wheat,Other,FAQ,2100,2100,2100,14-Jun-22
8,Latur,Ahmedpur,Wheat,Other,FAQ,1850,2500,2175,13-Jun-22
9,Latur,Ahmedpur,Wheat,Other,FAQ,2000,3000,2500,11-Jun-22
10,Latur,Ahmedpur,Wheat,Other,FAQ,2400,2500,2450,10-Jun-22
11,Latur,Ahmedpur,Wheat,Other,FAQ,1600,1800,1700,09-Sep-21
12,Latur,Ahmedpur,Wheat,Other,FAQ,1580,1580,1580,12-Aug-21
13,Latur,Ahmedpur,Wheat,Other,FAQ,1500,1800,1650,10-Aug-21
14,Latur,Ahmedpur,Wheat,Other,FAQ,1500,1900,1700,02-Jul-21
15,Latur,Ahmedpur,Wheat,Other,FAQ,1500,1650,1575,01-Jul-21
16,Latur,Ahmedpur,Wheat,Other,FAQ,1500,1600,1550,30-Jun-21
17,Latur,Ahmedpur,Wheat,Other,FAQ,1400,1650,1525,29-Jun-21
18,Latur,Ahmedpur,Wheat,Other,FAQ,1500,1600,1550,28-Jun-21
19,Latur,Ahmedpur,Wheat,Other,FAQ,1500,1550,1525,26-Jun-21
20,Latur,Ahmedpur,Wheat,Other,FAQ,1500,2000,1750,25-Jun-21
21,Latur,Ahmedpur,Wheat,Other,FAQ,1500,1600,1550,24-Jun-21
22,Latur,Ahmedpur,Wheat,Other,FAQ,1500,2200,1850,23-Jun-21
23,Latur,Ahmedpur,Wheat,Other,FAQ,1500,1500,1500,22-Jun-21
24,Latur,Ahmedpur,Wheat,Other,FAQ,1625,1625,1625,21-Jun-21
25,Latur,Ahmedpur,Wheat,Other,FAQ,1625,1625,1625,19-Jun-21
26,Latur,Ahmedpur,Wheat,Other,FAQ,1500,1900,1700,18-Jun-21
27,Latur,Ahmedpur,Wheat,Other,FAQ,1500,1500,1500,17-Jun-21
28,Latur,Ahmedpur,Wheat,Other,FAQ,1300,1350,1325,04-Jan-21
29,Latur,Ahmedpur,Wheat,Other,FAQ,1300,1350,1325,02-Jan-21
30,Latur,Ahmedpur,Wheat,Other,FAQ,1300,1350,1325,01-Jan-21
31,Latur,Ahmedpur,Wheat,Other,FAQ,1300,1350,1325,31-Dec-20
32,Latur,Ahmedpur,Wheat,Other,FAQ,1300,1350,1325,30-Dec-20
33,Latur,Ahmedpur,Wheat,Other,FAQ,1300,1350,1325,29-Dec-20
34,Latur,Ahmedpur,Wheat,Other,FAQ,1300,1350,1325,28-Dec-20
35,Latur,Ahmedpur,Wheat,Other,FAQ,1300,1350,1325,26-Dec-20
